Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1 uF,C106215
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C4, C5, C6, C7, C8, C9",1206,34,10 uF,C96600
D1,D_SMC,1,SMCJ60A,C2943780
L1,SRP1245A,1,18uH,C5926042
"R1, R6, R7",0603,3,100K,C14675
"R10, R13",2512,2,1R,C181756
"R2, R3, R4, R5",0603,4,2.2K,C114662
R8,0603,1,249R,C861249
R9,0603,1,0R,C95177
U1,TPS1HTC30-Q1,1,TPS1HTC30AQPWPRQ1,C22414694
