Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C5, C7, C8, C9",1206,40,10 uF,C96600
"C4, C6",PHA225,2,560 uF,C3274794
L1,SRP1245A,1,18uH,C5926042
R1,2512,1,4.7K,C878291
